停留所名,事業者名,バス系統
境高校前,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
馬場（岩美）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
賀露中央,日ノ丸自動車（株）,賀露循環線
八丁目中央,日本交通（株）,35・36H・37　十六本松線
鳥取港（かにっこ館前）,日本交通（株）・日ノ丸自動車（株）,ループ麒麟獅子バス
かにっこ館前,日ノ丸自動車（株）,賀露循環線
新道,日ノ丸自動車（株）,賀露循環線
鳥取港（賀露神社前）,日本交通（株）・日ノ丸自動車（株）,ループ麒麟獅子バス
賀露神社前（賀露町）,日ノ丸自動車（株）,賀露循環線
こどもの国,日本交通（株）・日ノ丸自動車（株）,ループ麒麟獅子バス
八丁目入口,日本交通（株）,35・36H・37　十六本松線
八丁目,日本交通（株）,35・36H・37　十六本松線
神社裏,日ノ丸自動車（株）,賀露循環線
子供の国入口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
子供の国入口,日本交通（株）・日ノ丸自動車（株）,39　鳥取砂丘線
賀露大橋,日ノ丸自動車（株）,賀露循環線
中野,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
浜坂新田,日本交通（株）,35・36H・37　十六本松線
十六本松口,日本交通（株）,35・36H・37　十六本松線
西ひばりヶ丘,日本交通（株）,35・36H・37　十六本松線
浜坂団地,日本交通（株）,35・36H・37　十六本松線
法正寺口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
賀露小前,日ノ丸自動車（株）,賀露循環線
賀露南,日ノ丸自動車（株）,賀露循環線
みどり町（浜坂町）,日本交通（株）,35・36H・37　十六本松線
東ひばりヶ丘,日本交通（株）,35・36H・37　十六本松線
蒲生,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
浜坂団地口,日本交通（株）,35・36H・37　十六本松線
福定,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
東善寺前,日ノ丸自動車（株）,賀露循環線
浜坂小学校入口,日本交通（株）,35・36H・37　十六本松線
浜坂,日本交通（株）,35・36H・37　十六本松線
八区,日ノ丸自動車（株）,賀露循環線
中ノ郷中学校入口,日本交通（株）,35・36H・37　十六本松線
伏野,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
末恒駅口,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
浜坂東口,日本交通（株）,35・36H・37　十六本松線
塩谷,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
鳥取空港,日ノ丸ハイヤー（株）,空港連絡バス（鳥取空港⇔青山剛昌ふるさと館）
タウン浜坂,日本交通（株）,35・36H・37　十六本松線
鳥取砂丘コナン空港,日ノ丸自動車（株）,"賀露循環線, 鳥取砂丘コナン空港連絡バス"
聖母学園前,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
白兎橋,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
余子農協前,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
晩稲西,日ノ丸自動車（株）,賀露循環線
白浜団地,日ノ丸自動車（株）,賀露循環線
白兎神社前,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
白兎養護学校,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
晩稲,日ノ丸自動車（株）,"賀露循環線, イオン鳥取北"
中ノ茶屋（R9）,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
中ノ茶屋（県道190）,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
七区,日ノ丸自動車（株）,賀露循環線
摩尼寺口,日本交通（株）,38・38H　北園団地線
神堀,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
山陰アシックス工業前,松江市,八束コミュニティバス
鳥取医療センター入口,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
空港入口,日ノ丸自動車（株）,賀露循環線
イオン鳥取北,日ノ丸自動車（株）,"賀露循環線, イオン鳥取北"
イオン正面入口,日ノ丸自動車（株）,イオン鳥取北
三丁目入口,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
ニュー浜坂,日本交通（株）,35・36H・37　十六本松線
北園渡辺病院前,日本交通（株）,38・38H　北園団地線
福祉センター前（湖山町）,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
県営住宅,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
末恒南口,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
附属特別支援学校前,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 湖山池　鳥取駅〜白兎養護学校"
青谷,日ノ丸自動車（株）,長和瀬　青谷駅〜長和瀬
酒ノ津,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
覚寺口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線, 35・36H・37　十六本松線, 38・38H　北園団地線"
覚寺口,日本交通（株）・日ノ丸自動車（株）,39　鳥取砂丘線
尾崎病院前,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 湖山池　鳥取駅〜白兎養護学校, 賀露循環線"
青葉台入口,日ノ丸自動車（株）,賀露循環線
堀越（湖山町）,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
血液センター前,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
血液センター前,日本交通（株）,"30　大森中央病院線, 32H　岩美岩井線, 35・36H・37　十六本松線, 38・38H　北園団地線"
青谷小学校,日ノ丸自動車（株）,"日置　青谷町総合支所〜小畑上, 勝部　青谷町総合支所〜桑原, 長和瀬　青谷駅〜長和瀬"
青谷小学校,鳥取市,鳥取市絹見バス絹見線
学校入口,日ノ丸自動車（株）,長和瀬　青谷駅〜長和瀬
三丁目中央,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
中央病院,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
中央病院,日本交通（株）,"30　大森中央病院線, 32H　岩美岩井線, 35・36H・37　十六本松線, 38・38H　北園団地線"
東堀越,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
北谷橋上,日本交通（株）,38・38H　北園団地線
鳥取医療センター,日ノ丸自動車（株）,"白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
団地東,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
美萩野団地,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
船磯下,鳥取市,鳥取市気高循環バス船磯線
団地西（美萩野）,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
小沢見,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
附属特別支援学校入口,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
竹内,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
山ノ神,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
中央病院口,日ノ丸自動車（株）,"白兎海岸線　鳥取駅〜鹿野営業所, 鳥取砂丘コナン空港連絡バス"
井手入口,日ノ丸自動車（株）,長和瀬　青谷駅〜長和瀬
渡辺美術館前,日本交通（株）,"32　岩美岩井線, 33　岩美岩井線, 35・36H・37　十六本松線, 38・38H　北園団地線"
渡辺美術館前,日本交通（株）・日ノ丸自動車（株）,39　鳥取砂丘線
渡辺美術館,日本交通（株）・日ノ丸自動車（株）,ループ麒麟獅子バス
南隈口,日ノ丸自動車（株）,"賀露循環線, イオン鳥取北"
谷川橋,日本交通（株）,38・38H　北園団地線
北園二丁目,日本交通（株）,38・38H　北園団地線
長和瀬,日ノ丸自動車（株）,長和瀬　青谷駅〜長和瀬
山ノ手,日ノ丸自動車（株）,湖山池　鳥取駅〜白兎養護学校
湖陵高校前,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 湖山池　鳥取駅〜白兎養護学校, 賀露循環線"
青谷町総合支所前,日ノ丸自動車（株）,"日置　青谷町総合支所〜小畑上, 勝部　青谷町総合支所〜桑原, 長和瀬　青谷駅〜長和瀬"
青谷町総合支所前,鳥取市,鳥取市絹見バス絹見線
水尻,日ノ丸自動車（株）,白兎海岸線　鳥取駅〜鹿野営業所
船磯東,鳥取市,鳥取市気高循環バス船磯線
大寺屋,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
湖山西,日ノ丸自動車（株）,"鳥取大学　鳥取駅〜白兎養護学校, 白兎海岸線　鳥取駅〜鹿野営業所, 湖山池　鳥取駅〜白兎養護学校"
北園ニュータウン,日本交通（株）,38・38H　北園団地線
円護寺,日本交通（株）,38・38H　北園団地線
