停留所名,事業者名,バス系統
相模湖駅,神奈川中央交通西（株）,"湖22, 湖23"
神明社前,小田急バス（株）,"新02, 新03, 新07"
細山交番前,小田急バス（株）,"新02, 新03, 新07"
女子大前,小田急バス（株）,"読01, 読02, 読04, 読05, 生田折返場〜西菅団地"
向ヶ丘遊園駅南口,東急バス（株）,"向02, 向01, た83"
向丘遊園駅南口,川崎市,"た83, 溝06, 溝19, 登14"
東生田小学校,小田急バス（株）,"向13, 向ヶ丘遊園駅〜生田折返場"
東生田小学校前,神奈川中央交通（株）,淵24
宿河原小学校前,川崎市,登05
千代ヶ丘小学校入口,小田急バス（株）,"新03, 新09, 新07"
藤野総合事務所前,神奈川中央交通西（株）,野08
五反田,小田急バス（株）,"向13, 向ヶ丘遊園駅〜生田折返場"
五反田,神奈川中央交通（株）,淵24
北相中学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
北相中学校前,神奈川中央交通（株）,"湖29, 八07"
宿河原駅入口,川崎市,登06
生田根岸,神奈川中央交通（株）,淵24
生田根岸,小田急バス（株）,"向13, 向ヶ丘遊園駅〜生田折返場"
神明台,神奈川中央交通（株）,"湖29, 八07"
向原二丁目,小田急バス（株）,新04
千代ヶ丘七丁目,小田急バス（株）,"新02, 新09"
宿村,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
藤野駅,富士急バス（株）,【上野原】名倉線
藤野駅,神奈川中央交通西（株）,"湖23, 野05, 野12, 野08, 野11"
桂北小学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
桂北小学校前,神奈川中央交通（株）,"湖29, 八07"
向ヶ丘遊園駅入口,東急バス（株）,"向02, 向01, た83"
生田駅前,神奈川中央交通（株）,淵24
生田駅前,小田急バス（株）,向ヶ丘遊園駅〜生田折返場
宮ノ台,神奈川中央交通（株）,"湖29, 八07"
向丘遊園駅入口,川崎市,"た83, 溝06, 溝19, 登14"
生田折返場,神奈川中央交通（株）,淵24
生田折返場,小田急バス（株）,"向ヶ丘遊園駅〜生田折返場, 読02, 読04, 読05, 新02, 新03, 生田折返場〜西菅団地, 生田折返場〜新百合ヶ丘駅, 生田折返場〜百合ヶ丘駅"
読売ランド前駅,小田急バス（株）,"読01, 読02, 読04, 読05, 新02, 新03, 生田折返場〜西菅団地, 生田折返場〜新百合ヶ丘駅, 生田折返場〜百合ヶ丘駅"
読売ランド駅前,神奈川中央交通（株）,淵24
藤野中学校入口,神奈川中央交通西（株）,湖23
生田駅,川崎市,"生01, 生02, 生03"
生田大橋,小田急バス（株）,向13
金程中学校前,小田急バス（株）,新04
勝瀬橋,神奈川中央交通西（株）,湖23
西生田中学校入口,神奈川中央交通（株）,淵24
西生田中学校入口,小田急バス（株）,"読01, 新02, 新03, 生田折返場〜新百合ヶ丘駅, 生田折返場〜百合ヶ丘駅"
相模湖総合事務所前,神奈川中央交通（株）・神奈川中央交通西（株）,湖21
相模湖総合事務所前,神奈川中央交通西（株）,湖22
名倉,富士急バス（株）,【上野原】名倉線
のぼりとスイミングクラブ前,長尾台コミュニティ交通導入推進協議会,長尾台地区：あじさい号
宿河原,川崎市,"登05, 登06"
津久井やまゆり園前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
千代ヶ丘三丁目,小田急バス（株）,"新02, 新09"
黒川,神奈川中央交通（株）,"鶴21, 鶴22, 柿26, 柿27"
黒川,小田急バス（株）,"柿24　柿生駅北口〜若葉台駅, 柿24　調布駅南口〜柿生駅北口, 柿24　稲城駅〜柿生駅北口, 若11"
飯室,東急バス（株）,"向02, 向01"
飯室,川崎市,溝06
吉野,神奈川中央交通西（株）,湖23
相模湖大橋,神奈川中央交通（株）・神奈川中央交通西（株）,湖21
相模湖大橋,神奈川中央交通西（株）,湖22
明大入口,小田急バス（株）,"向10　専修大学前, 向10　専修大学9号館, 向11, 向12, あざみ野駅〜登戸営業所"
相模湖公園前,神奈川中央交通（株）・神奈川中央交通西（株）,湖21
相模湖公園前,神奈川中央交通西（株）,湖22
三田一丁目,川崎市,"生01, 生02, 生03"
藤野下,神奈川中央交通西（株）,湖23
金程四丁目,小田急バス（株）,"新03, 新04, 新09, 新07"
生田中学校前,小田急バス（株）,向13
日影,神奈川中央交通（株）,"鶴21, 鶴22"
明治大学正門,小田急バス（株）,向13
赤馬,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
青少年センター入口,神奈川中央交通（株）,"町28, 橋16, 橋26, 橋61, 橋63, 原21"
青少年センター入口［大地沢］,町田市,まちっこ：相原ルート
雪ヶ坂,東急バス（株）,"向02, 向01"
雪ヶ坂,川崎市,溝06
