停留所名,事業者名,バス系統
富士学校,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
菅沼郵便局前,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
須走入口,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
須走入口,富士急モビリティ（株）,富士学校線
須走入口,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
畜産試験場北入口,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
畜産試験場北入口,富士急静岡バス（株）,新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅
富士小山工業団地,富士急モビリティ（株）,"上野線, 御殿場霊園線, 小山霊園線"
須走浄化センター,小山町,須走ルート
菅沼,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
棚頭住宅前,富士急モビリティ（株）,"上野線, 御殿場霊園線"
東富士リサーチパーク入口,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
東富士リサーチパーク,富士急モビリティ（株）,富士学校線
東富士リサーチパーク,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
境の沢,小山町,足柄ルート
明倫小入口,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
わさび平,小山町,須走ルート
わさび平,富士急モビリティ（株）,御殿場霊園線
坂本,富士急モビリティ（株）,御殿場霊園線
棚頭,富士急モビリティ（株）,"上野線, 御殿場霊園線"
明後所入口,富士急モビリティ（株）,御殿場霊園線
田貫湖入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
所領,小山町,足柄ルート
富士小山病院,小山町,須走ルート
富士小山病院,富士急モビリティ（株）,"上野線, 御殿場霊園線"
谷戸,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
久保下,小山町,須走ルート
久保下,富士急モビリティ（株）,御殿場霊園線
生涯学習センター（総合文化会館）,小山町,須走ルート
生涯学習センター,富士急モビリティ（株）,小山霊園線
北郷中学校,小山町,須走ルート
北郷中学校,富士急モビリティ（株）,上野線
原向穂見神社,小山町,須走ルート
フェニックス総合研修センター,小山町,須走ルート
小山郵便局前,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
共栄火災富士研修センター,小山町,須走ルート
滝ヶ原入口,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
滝ケ原入口,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
滝ケ原入口,富士急モビリティ（株）,富士学校線
正倉北,小山町,須走ルート
所領児童公園横,小山町,足柄ルート
一色西沢墓地,小山町,須走ルート
十輪寺,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
正倉中,小山町,須走ルート
吉久保上,小山町,須走ルート
富士桜自然墓園,富士急静岡バス（株）,北山線
琵琶首,小山町,須走ルート
吉久保横道,富士急モビリティ（株）,御殿場霊園線
北郷支所,小山町,須走ルート
北郷支所,富士急モビリティ（株）,上野線
正倉,小山町,須走ルート
上合,富士急モビリティ（株）,"駿河小山線, 小山霊園線"
パークゴルフ場,小山町,須走ルート
田貫湖南,富士急静岡バス（株）,北山線　新富士駅〜富士宮駅・世界遺産センター〜休暇村富士
吉久保坂下,富士急モビリティ（株）,駿河小山線
只水,小山町,須走ルート
畜産試験場西入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
佐野川,小山町,須走ルート
佐野川,富士急モビリティ（株）,"駿河小山線, 御殿場霊園線"
堀切,小山町,須走ルート
JA北郷支店,小山町,須走ルート
富士桜自然墓園中央ロータリー,富士急静岡バス（株）,北山線
吉久保,富士急モビリティ（株）,駿河小山線
長尾平,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
長尾平,富士急モビリティ（株）,富士学校線
長尾平,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
休暇村富士,富士急静岡バス（株）,北山線　新富士駅〜富士宮駅・世界遺産センター〜休暇村富士
田貫湖キャンプ場,富士急静岡バス（株）,北山線　新富士駅〜富士宮駅・世界遺産センター〜休暇村富士
一色,小山町,須走ルート
一色,富士急モビリティ（株）,"駿河小山線, 上野線, 御殿場霊園線"
下一色,小山町,須走ルート
富士桜自然墓園管理センター,富士急静岡バス（株）,北山線
富士平原ゴルフ場,富士急バス（株）,【富士五湖】河口湖駅・御殿場駅線
富士平原ゴルフ場,富士急モビリティ（株）,富士学校線
富士平原ゴルフ場,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
峠の茶屋前,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
立沢,小山町,須走ルート
上古城,富士急モビリティ（株）,"駿河小山線, 上野線, 御殿場霊園線"
富士宮口五合目,富士急静岡バス（株）,五合目線　新富士駅〜富士駅前・富士宮駅・水ヶ塚公園〜富士宮口五合目
富士宮口五合目,富士急シティバス（株）,三島駅⇔富士サファリパーク・ぐりんぱ・水ヶ塚公園・富士宮口五合目
足柄ふれあい公園入口,小山町,足柄ルート
田貫湖下,富士急静岡バス（株）,北山線　新富士駅〜富士宮駅・世界遺産センター〜休暇村富士
まかいの牧場,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
まかいの牧場,富士急静岡バス（株）,新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅
水土野,富士急バス（株）,【富士五湖】河口湖駅・御殿場駅線
水土野,富士急モビリティ（株）,富士学校線
水土野,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
市営墓地朝霧霊園,富士急静岡バス（株）,北山線
御殿場口新五合目,富士急モビリティ（株）,御殿場口登山線（富士登山バス）　Z
日本建築専門学校,富士急静岡バス（株）,北山線
西光寺,小山町,須走ルート
新井,小山町,須走ルート
古沢,富士急モビリティ（株）,"駿河小山線, 上野線, 御殿場霊園線"
足柄地区コミュニティセンター,小山町,"足柄ルート, 須走ルート"
竹の下,小山町,"足柄ルート, 須走ルート"
新町,小山町,須走ルート
JA足柄支店,小山町,"足柄ルート, 須走ルート"
太郎坊,富士急モビリティ（株）,御殿場口登山線（富士登山バス）　Z
足柄駅,小山町,"足柄ルート, 須走ルート"
下古城,小山町,須走ルート
水土野下,富士急バス（株）,【富士五湖】河口湖駅・御殿場駅線
水土野下,富士急モビリティ（株）,富士学校線
水土野下,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
馬術スポーツセンター入口,富士急バス（株）,【富士五湖】河口湖駅・御殿場プレミアムアウトレット線
馬術・スポーツセンター入口,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
上小林入口,富士急バス（株）,【富士五湖】河口湖駅・御殿場駅線
上小林入口,富士急モビリティ（株）,富士学校線
上小林入口,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
六日市場,富士急モビリティ（株）,"駿河小山線, 上野線, 御殿場霊園線"
足形上,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
ボーイスカウト小屋前,小山町,足柄ルート
一の竹,富士急静岡バス（株）,北山線
落合河原橋前,小山町,足柄ルート
