停留所名,事業者名,バス系統
川尻,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 彩都線（21、22系統）、粟生団地線（29系統）"
新光風台四丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
シートス前,阪急バス（株）,豊能西線（2、3、4、9系統）
上音羽,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）, 忍頂寺車作線（89、90系統）"
新光風台五丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
長谷口,阪急バス（株）,忍頂寺車作線（81、85、181系統）
三島の郷前,高槻市,田能
北摂信愛園前,阪急バス（株）,北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）
倶楽部前,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）, 忍頂寺車作線（89、90系統）"
下音羽,阪急バス（株）,忍頂寺車作線（81、85、181系統）
東ときわ台五丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
新光風台二丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
光風台小学校前,阪急バス（株）,豊能西線（2、3、4、9系統）
東ときわ台二丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
支所前,阪急バス（株）,"妙見口能勢線（8系統）, 豊能西線（2、3、4、9系統）"
上音羽口,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）, 忍頂寺車作線（89、90系統）"
高山口,阪急バス（株）,北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）
小学校前,阪急バス（株）,豊能西線（2、3、4、9系統）
川久保,高槻市,成合・川久保
東ときわ台七丁目,阪急バス（株）,"妙見口能勢線（8系統）, 豊能西線（2、3、4、9系統）"
光風台駅,阪急バス（株）,豊能西線（2、3、4、9系統）
光風台駐輪場,阪急バス（株）,豊能西線（2、3、4、9系統）
原大橋,高槻市,"原・上の口, 田能"
東ときわ台九丁目,阪急バス（株）,豊能西線（2、3、4、9系統）
光風台六丁目二号公園,阪急バス（株）,豊能西線（2、3、4、9系統）
里山そらテラス,阪急バス（株）,箕面森町線（1系統）
忍頂寺,阪急バス（株）,"忍頂寺車作線（81、85、181系統）, 忍頂寺車作線（89、90系統）"
光風台六丁目三号公園,阪急バス（株）,豊能西線（2、3、4、9系統）
萩谷,高槻市,萩谷
