停留所名,事業者名,バス系統
赤沢,関越交通（株）,"湯元温泉線, 鳩待峠行バス連絡所〜湯元温泉線"
上而,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
白根温泉,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
大穴,関越交通（株）,"水上線：水上駅〜粟沢, 水上線：谷川岳RW〜上毛駅, 水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
白根温泉露天風呂前,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
越本,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
大穴変電所前,関越交通（株）,"水上線：水上駅〜粟沢, 水上線：谷川岳RW〜上毛駅, 水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
大滝ドライブイン,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
大穴町営住宅入口,関越交通（株）,"水上線：水上駅〜粟沢, 水上線：谷川岳RW〜上毛駅, 水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
細工屋,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
白根発電所,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
うのせ温泉上,関越交通（株）,"水上線：水上駅〜粟沢, 水上線：谷川岳RW〜上毛駅, 水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
うのせ温泉,関越交通（株）,"水上線：水上駅〜粟沢, 水上線：谷川岳RW〜上毛駅, 水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
大沢,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
上小川,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
太田上,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
