停留所名,事業者名,バス系統
ジョイア・ミーア前,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
乙女の滝,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
遅山14号通り,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
板室温泉,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
教会前,那須町,町民バス　湯本線
那須ステンドグラス美術館,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
TOWAピュアコテージ,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース"
那須ハイランドパーク,関東自動車（株）,"那須塩原駅〜板室温泉〜那須HP, 那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース"
湯石温泉入口,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
幾世橋,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
清流の里,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
守子坂,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
板室本村上,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
上横沢,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース"
那須サファリパーク,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
那須サファリパーク入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
板室本村,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
池田,那須町,町民バス　湯本線
下横沢,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
幸乃湯温泉前,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
ファミリーロード入口,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
四ツ川橋,那須町,町民バス　湯本線
上新屋,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
北条,那須町,町民バス　湯本線
藤塩,那須町,町民バス　湯本線
トレジャーストーンパーク,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
ホテルエピナール那須,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
木の俣,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
那須テディベア・ミュージアム,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
新屋,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
板室分署前,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
ウェルネスの森那須,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
松原（那須塩原）,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
戸能,那須町,町民バス　湯本線
広谷地,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
大島,那須町,町民バス　湯本線
キャンドルハウスシュシュ,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
りんどう湖ファミリー牧場,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
友愛の森,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
那須高原大橋,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW"
道の駅那須高原友愛の森,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース, 那須高原観光周遊バス：Eコース"
ロイヤルホテル那須,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース"
小島,那須町,町民バス　湯本線
上白沢橋,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
那須ワールドモンキーパーク,関東自動車（株）,那須高原観光周遊バス：Eコース
穴沢,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
穴沢農協前,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
那須とりっくあーとぴあ,関東自動車（株）,那須高原観光周遊バス：Eコース
チーズガーデン前,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
穴沢東,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
田代,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
音羽町,那須町,町民バス　湯本線
GOODNEWS,関東自動車（株）,那須高原観光周遊バス：Eコース
黒田原駅前,関東自動車（株）,黒田原駅前〜上町
黒田原駅,那須町,町民バス　湯本線
音羽町,関東自動車（株）,黒田原駅前〜上町
田代友愛小学校,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
幸町3,那須町,町民バス　湯本線
那須町役場前,関東自動車（株）,黒田原駅前〜上町
追分,那須町,町民バス　追分・黒磯駅線
笠木入口,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
那須町役場,那須町,町民バス　湯本線
本町（那須町）,関東自動車（株）,黒田原駅前〜上町
お菓子の城,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本, 那須高原観光周遊バス：Eコース"
余笹川ふれあい公園,那須町,町民バス　湯本線
本町下,関東自動車（株）,黒田原駅前〜上町
ゆめプラザ前,那須町,町民バス　湯本線
上三依塩原温泉口駅,那須塩原市,ゆーバス塩原・上三依線
那須高等学校前,関東自動車（株）,黒田原駅前〜上町
那須高等学校前,那須町,町民バス　湯本線
戸田,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
なすの苑前,那須町,町民バス　湯本線
上塩阿久津,関東自動車（株）,黒田原駅前〜上町
上松子,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
開拓事務所前,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
塩阿久津,関東自動車（株）,黒田原駅前〜上町
下松子,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
寿山荘那須,那須町,町民バス　湯本線
りぼーる・たなか,那須町,町民バス　湯本線
白井入口,関東自動車（株）,黒田原駅前〜上町
沓石,那須町,町民バス　追分・黒磯駅線
青木別荘前,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
腰掛松,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
高久駅,那須町,町民バス　湯本線
打尾木,那須町,町民バス　追分・黒磯駅線
青木,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
芦野支所前,関東自動車（株）,黒田原駅前〜上町
新高久,関東自動車（株）,"那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
青木中,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
大畑,那須町,町民バス　追分・黒磯駅線
青木東,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
芦野仲町,関東自動車（株）,黒田原駅前〜上町
高原病院前,那須町,"町民バス　湯本線, 町民バス　追分・黒磯駅線"
上塩原,那須塩原市,ゆーバス塩原・上三依線
上野町,関東自動車（株）,黒田原駅前〜上町
イオンタウン那須,那須町,"町民バス　湯本線, 町民バス　追分・黒磯駅線"
藤田,関東自動車（株）,"那須塩原駅〜黒磯駅〜板室温泉, 那須塩原駅〜板室温泉〜那須HP"
旧美野沢小学校前,那須町,町民バス　追分・黒磯駅線
