停留所名,事業者名,バス系統
清明中学校,富山地方鉄道（株）,生地循環線
JAくろべ北部支店,富山地方鉄道（株）,南北循環バス
沖,黒部モビリティサービス（株）,新幹線生地線
栃沢口,富山地方鉄道（株）,生地循環線
中新口,富山地方鉄道（株）,生地循環線
金屋（黒部）,富山地方鉄道（株）,南北循環バス
舟見5区,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）"
ひみ阿尾の浦温泉,加越能バス（株）,"和倉温泉直行バス「わくライナー」, 脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
中新（黒部）,富山地方鉄道（株）,"南北循環バス, 生地循環線"
浦山新,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
YKK光志寮,富山地方鉄道（株）,南北循環バス
大阪屋ショップ・中央小学校（黒部）,富山地方鉄道（株）,南北循環バス
岩井整形外科,富山地方鉄道（株）,生地循環線
北阿尾,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
舟見中町,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）"
浦川端,（有）宇奈月交通,愛本本線
舟見,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
墓ノ木,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
墓ノ木公民館前,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
上浦川端,（有）宇奈月交通,愛本本線
浦野,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
植木,富山地方鉄道（株）,新幹線市街地線
浦野バス停,（有）宇奈月交通,"愛本本線, 愛本連絡線"
立野,桜井交通（株）,04　石田三日市線（北ルート）
新田,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
若栗団地交差点,（有）宇奈月交通,愛本本線
コラーレ前,富山地方鉄道（株）,新幹線市街地線
堀切公民館,富山地方鉄道（株）,南北循環バス
阿尾,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
総合公園口,桜井交通（株）,04　石田三日市線（北ルート）
堀高,富山地方鉄道（株）,生地循環線
新堂,富山地方鉄道（株）,新幹線市街地線
愛本新中区公民館,（有）宇奈月交通,"愛本本線, 愛本連絡線"
舟見上町,入善町,"舟見線, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
道の駅KOKOくろべ,富山地方鉄道（株）,生地循環線
中坪公民館,（有）宇奈月交通,愛本本線
パッシブタウン黒部郵便局,富山地方鉄道（株）,"南北循環バス, 新幹線市街地線"
ふれあい温泉,入善町,舟見線
両瀬公民館,（有）宇奈月交通,愛本本線
立野公民館,桜井交通（株）,04　石田三日市線（北ルート）
バーデン明日,入善町,舟見線
ポンプ格納庫前,（有）宇奈月交通,栃屋・大橋循環線
寺坪,富山地方鉄道（株）,新幹線市街地線
YKK堀切寮,富山地方鉄道（株）,南北循環バス
YKK堀切寮,桜井交通（株）,04　石田三日市線（北ルート）
堀切新,富山地方鉄道（株）,南北循環バス
堀切新,桜井交通（株）,04　石田三日市線（北ルート）
中村公民館,（有）宇奈月交通,愛本本線
八社公民館,（有）宇奈月交通,愛本本線
大橋公民館,（有）宇奈月交通,栃屋・大橋循環線
防火水槽前,（有）宇奈月交通,栃屋・大橋循環線
黒部宇奈月温泉駅西口,富山地方鉄道（株）,新幹線市街地線
若埜ふれあいセンター前,（有）宇奈月交通,愛本本線
間島,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
三日市（桜井）,富山地方鉄道（株）,新幹線市街地線
東栄土木前,（有）宇奈月交通,"愛本本線, 愛本連絡線"
電鉄黒部駅前,富山地方鉄道（株）,"南北循環バス, 生地循環線, 池尻線, 新幹線市街地線"
電鉄黒部駅前,桜井交通（株）,04　石田三日市線（北ルート）
アルファ塾石田校前,桜井交通（株）,04　石田三日市線（北ルート）
黒部宇奈月温泉駅,富山地方鉄道（株）,新幹線市街地線
黒部宇奈月温泉駅,黒部モビリティサービス（株）,新幹線生地線
イラッセ,（有）宇奈月交通,"愛本本線, 栃屋・大橋循環線"
寺町商店街,富山地方鉄道（株）,"池尻線, 新幹線市街地線"
天神新公民館口,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
下村公民館,（有）宇奈月交通,栃屋・大橋循環線
地産の黒部,（有）宇奈月交通,愛本本線
東町,（有）宇奈月交通,愛本本線
町堀切西,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
大阪屋ショップ,（有）宇奈月交通,"愛本本線, 栃屋・大橋循環線"
市民病院（黒部）,富山地方鉄道（株）,"南北循環バス, 生地循環線, 池尻線, 新幹線市街地線"
市民病院,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
古川接骨院,（有）宇奈月交通,愛本本線
西町,（有）宇奈月交通,愛本本線
町堀切公民館,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
岡北,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
JAくろべ本店口,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
前田歯科クリニック,（有）宇奈月交通,愛本本線
にいかわ総合支援学校,桜井交通（株）,04　石田三日市線（南ルート）
黒部市役所,富山地方鉄道（株）,"南北循環バス, 池尻線"
黒部市役所,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
愛本新上区公民館,（有）宇奈月交通,"愛本本線, 愛本連絡線"
氷見栄町,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
メルシー,富山地方鉄道（株）,"南北循環バス, 池尻線"
メルシー,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
栃屋駅,（有）宇奈月交通,栃屋・大橋循環線
黒部駅前,富山地方鉄道（株）,"南北循環バス, 生地循環線, 池尻線, 桜井高校線, 新幹線市街地線"
黒部駅前,桜井交通（株）,"04　石田三日市線（南ルート）, 04　石田三日市線（北ルート）"
旧愛本支所前,入善町,新屋線（宇奈月市民サービスセンター前〜入善駅前）
旧JA愛本支所,（有）宇奈月交通,"愛本本線, 愛本連絡線"
明日コミニケ口,（有）宇奈月交通,"愛本本線, 愛本連絡線"
桜井高校,富山地方鉄道（株）,桜井高校線
袖野,（有）宇奈月交通,愛本本線
法福寺前,（有）宇奈月交通,"愛本本線, 愛本連絡線"
牧野,富山地方鉄道（株）,池尻線
越野公民館,（有）宇奈月交通,愛本本線
YKK黒部寮,富山地方鉄道（株）,南北循環バス
グリーンタウン,（有）宇奈月交通,愛本本線
市営住宅,（有）宇奈月交通,愛本本線
熊野交差点,（有）宇奈月交通,栃屋・大橋循環線
ちどりのき台,（有）宇奈月交通,栃屋・大橋循環線
海水浴場口,桜井交通（株）,04　石田三日市線（南ルート）
池田浜,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
岡公民館,桜井交通（株）,04　石田三日市線（南ルート）
電鉄石田駅前,桜井交通（株）,04　石田三日市線（南ルート）
旧JA石田支所,桜井交通（株）,04　石田三日市線（南ルート）
新町中央,桜井交通（株）,04　石田三日市線（南ルート）
浦山分団屯所前,（有）宇奈月交通,"愛本本線, 栃屋・大橋循環線"
中ノ口公民館口,（有）宇奈月交通,"愛本本線, 愛本連絡線"
北大町,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
桧葉ノ木川交差点,（有）宇奈月交通,栃屋・大橋循環線
ひみ番屋街,加越能バス（株）,"和倉温泉直行バス「わくライナー」, 氷見駅前〜ひみ番屋街, 氷見市民病院〜ひみ番屋街〜氷見駅前, ひみ番屋街〜氷見市民病院（右周り・左回り）"
ひみ番屋街,富山地方鉄道（株）,富山ぶりかにバス
