停留所名,事業者名,バス系統
北平,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
六角堂入口,北茨城市,五浦線
正分,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
左貫宿,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
仁井田十文字,北茨城市,大津線
大津西町,北茨城市,五浦線
神岡下,北茨城市,大津線
大津港前,北茨城市,五浦線
雨情の里スポーツ広場前,北茨城市,華川線
大津港入口,北茨城市,五浦線
仲井橋,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
下小津田,北茨城市,華川線
四道,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
五浦団地,北茨城市,五浦線
奥久慈茶の里公園前,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
華川小学校前,北茨城市,華川線
杉の内,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
漆平,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平"
下の内,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
神岡市営住宅前,北茨城市,大津線
稲荷神社前,北茨城市,大津線
立岩入口,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
笹の沢,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平"
七反,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平"
駐在所前,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
牧場入口,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
神岡上,北茨城市,大津線
阿坪,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
山下,北茨城市,華川線
井戸ヶ沢入口,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
大野平,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
里川宿,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
阿坪下,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
宿下,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
下野宮,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
広畑,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
車,北茨城市,華川線
旧華川中学校前,北茨城市,華川線
時当,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
三ツ目,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
半蔵,北茨城市,磯原線
内野,北茨城市,磯原線
下三ツ目,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
初原集会所前,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
下半蔵,北茨城市,磯原線
中妻小学校前,北茨城市,"磯原線, 華川線"
下相田,北茨城市,磯原線
中井,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
中妻,北茨城市,華川線
熊穴,茨城交通（株）,"下幡〜漆平, 総合福祉会館〜ぬく森の湯〜漆平, 総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
大日本,北茨城市,"磯原線, 華川線"
高藪下,茨城交通（株）,"生瀬小学校〜高藪下〜大子営業所, 大子駅前〜高藪下〜家戸内"
嵯峨草橋,茨城交通（株）,"生瀬小学校〜高藪下〜大子営業所, 大子駅前〜高藪下〜家戸内"
おはよう館前,北茨城市,"磯原線, 華川線"
古内入口,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
宮川分館前,茨城交通（株）,"生瀬小学校〜高藪下〜大子営業所, 大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜高藪下〜家戸内, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
岩目,茨城交通（株）,"大子営業所〜森の前, 大子駅前〜森の前"
富の草,茨城交通（株）,"生瀬小学校〜高藪下〜大子営業所, 大子駅前〜高藪下〜家戸内"
峰岸,北茨城市,磯原線
熊久保入口,茨城交通（株）,"生瀬小学校〜高藪下〜大子営業所, 大子駅前〜高藪下〜家戸内"
島上,北茨城市,大津線
駒木,北茨城市,"磯原線, 華川線"
若駒つりぼり前,茨城交通（株）,"総合福祉会館〜森湯〜つりぼり, 太田営業所〜若駒つりぼり"
