停留所名,事業者名,バス系統
熊入温泉郵便局前,産交バス（株）,山鹿バスセンター〜熊入温泉郵便〜鹿北支所前〜鹿北道の駅
尾田,産交バス（株）,"玉名駅前〜北稜高校前〜坂下〜南関上町, くまもと県北病院〜新玉名駅〜坂下〜南関上町"
臼塚,産交バス（株）,山鹿市役所前〜平山温泉〜三加和温泉〜南関上町
熊入四ツ角,産交バス（株）,山鹿バスセンター〜熊入温泉郵便〜鹿北支所前〜鹿北道の駅
西上町,産交バス（株）,山鹿市役所前〜平山温泉〜三加和温泉〜南関上町
坂下（南関）,産交バス（株）,"玉名駅前〜北稜高校前〜坂下〜南関上町, くまもと県北病院〜新玉名駅〜坂下〜南関上町"
横枕,産交バス（株）,山鹿バスセンター〜十三部〜遊蛇口〜菊池産交
山鹿市役所前,産交バス（株）,"山鹿市役所前〜平山温泉〜三加和温泉〜南関上町, 山鹿バスセンター〜熊入温泉郵便〜鹿北支所前〜鹿北道の駅"
下大林,産交バス（株）,山鹿バスセンター〜十三部〜遊蛇口〜菊池産交
山鹿バスセンター,産交バス（株）,"A5-2：桜町バスターミナル〜植木〜日置〜山鹿バスセンター, A5-2：山鹿バスセンター〜日置〜植木〜田崎橋, A5-3：桜町バスターミナル〜植木温泉〜日置〜山鹿バスセンター, A5-1：桜町バスターミナル〜植木〜来民バイパス〜山鹿バスセンター, A5-1：山鹿バスセンター〜来民バイパス〜植木〜田崎橋, 山鹿バスセンター〜十三部〜遊蛇口〜菊池産交, 山鹿市役所前〜平山温泉〜三加和温泉〜南関上町, 菊池プラザ→水辺プラザ〜鹿本農高前→山鹿バスセンター, 山鹿バスセンター〜水辺プラザ〜翔陽高校〜肥後大津駅, 山鹿バスセンター〜東郷農協前〜看護福祉大学〜玉名駅前, 山鹿バスセンター〜東郷農協前〜蛇ヶ谷公園〜玉名駅前, 山鹿バスセンター〜米の岳〜玉名市役所前〜玉名駅前, 田原坂ニュータウン→植木〜来民バイパス→山鹿バスセンター, 山鹿バスセンター〜熊入温泉郵便〜鹿北支所前〜鹿北道の駅"
山鹿市役所入口,産交バス（株）,"A5-1：桜町バスターミナル〜植木〜来民バイパス〜山鹿バスセンター, A5-1：山鹿バスセンター〜来民バイパス〜植木〜田崎橋, 山鹿バスセンター〜十三部〜遊蛇口〜菊池産交, 菊池プラザ→水辺プラザ〜鹿本農高前→山鹿バスセンター, 山鹿バスセンター〜水辺プラザ〜翔陽高校〜肥後大津駅, 田原坂ニュータウン→植木〜来民バイパス→山鹿バスセンター"
山鹿温泉（八千代座入口）,産交バス（株）,"A5-2：桜町バスターミナル〜植木〜日置〜山鹿バスセンター, A5-2：山鹿バスセンター〜日置〜植木〜田崎橋, A5-3：桜町バスターミナル〜植木温泉〜日置〜山鹿バスセンター, A5-1：桜町バスターミナル〜植木〜来民バイパス〜山鹿バスセンター, A5-1：山鹿バスセンター〜来民バイパス〜植木〜田崎橋, 山鹿バスセンター〜十三部〜遊蛇口〜菊池産交, 山鹿市役所前〜平山温泉〜三加和温泉〜南関上町, 菊池プラザ→水辺プラザ〜鹿本農高前→山鹿バスセンター, 山鹿バスセンター〜水辺プラザ〜翔陽高校〜肥後大津駅, 山鹿バスセンター〜東郷農協前〜看護福祉大学〜玉名駅前, 山鹿バスセンター〜東郷農協前〜蛇ヶ谷公園〜玉名駅前, 山鹿バスセンター〜米の岳〜玉名市役所前〜玉名駅前, 田原坂ニュータウン→植木〜来民バイパス→山鹿バスセンター, 山鹿バスセンター〜熊入温泉郵便〜鹿北支所前〜鹿北道の駅"
シルバー人材センター入口,産交バス（株）,"A5-1：桜町バスターミナル〜植木〜来民バイパス〜山鹿バスセンター, A5-1：山鹿バスセンター〜来民バイパス〜植木〜田崎橋, 山鹿バスセンター〜十三部〜遊蛇口〜菊池産交, 菊池プラザ→水辺プラザ〜鹿本農高前→山鹿バスセンター, 山鹿バスセンター〜水辺プラザ〜翔陽高校〜肥後大津駅, 田原坂ニュータウン→植木〜来民バイパス→山鹿バスセンター"
