停留所名,事業者名,バス系統
刈和野大町,大仙市,コミュニティバス杉山田線
刈和野大町,羽後交通（株）,峰吉川線
刈和野駅前角,大仙市,コミュニティバス杉山田線
浮島,大仙市,コミュニティバス杉山田線
中仙局前,羽後交通（株）,大曲・角館線
刈和野上町,大仙市,コミュニティバス杉山田線
道の駅岩城,羽後交通（株）,（急行）本荘・秋田線
白川,秋田市,南部線雄和Aコース
長野新町,羽後交通（株）,大曲・角館線
桜郷,羽後交通（株）,角館・六郷線
新鶴潟,羽後交通（株）,（急行）本荘・秋田線
中沢,羽後交通（株）,淀川線
笹山（佐々木畳店前）,大仙市,西仙北地域市民バス田屋・九升田線
百人畑,大仙市,コミュニティバス杉山田線
向野下丁,秋田市,南部線雄和Bコース
鶴潟,由利本荘市,市コミバス　7岩城線
向野上丁,秋田市,南部線雄和Bコース
番屋,秋田市,南部線雄和Aコース
斉内橋,羽後交通（株）,大曲・角館線
中小種,羽後交通（株）,淀川線
野田,大仙市,コミュニティバス杉山田線
江原田（旧会館前）,大仙市,西仙北地域市民バス田屋・九升田線
高屋敷,大仙市,コミュニティバス杉山田線
二古,羽後交通（株）,（急行）本荘・秋田線
上野台（会館前）,大仙市,西仙北地域市民バス田屋・九升田線
繋,秋田市,南部線雄和Aコース
上砂溜,大仙市,コミュニティバス長信田線
開,羽後交通（株）,大曲・角館線
砂溜,羽後交通（株）,角館・六郷線
砂溜,大仙市,コミュニティバス長信田線
梵天野,秋田市,南部線雄和Aコース
新浪温泉前,秋田市,南部線雄和Aコース
新波新町,秋田市,南部線雄和Aコース
金山沢（会館前）,大仙市,西仙北地域市民バス田屋・九升田線
石持,大仙市,コミュニティバス杉山田線
Aコープ大正寺前,秋田市,"南部線雄和Aコース, 南部線雄和Bコース"
木売沢（自治会館前）,大仙市,西仙北地域市民バス田屋・九升田線
雄和診療所前,秋田市,"南部線雄和Aコース, 南部線雄和Bコース"
上野,羽後交通（株）,淀川線
