停留所名,事業者名,バス系統
網野中学校前,丹後海陸交通（株）,"44・46　海岸線, 52・56　間人循環線, 弥栄網野砂丘線"
大原口,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
大原,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
野間基幹集落センター前,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
野中［弥栄町］,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
水之江,丹後海陸交通（株）,弥栄網野砂丘線
島津大谷,丹後海陸交通（株）,弥栄網野砂丘線
溝川,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
福祉センター前,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
島津口,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
島津,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
アミティ・網野庁舎前,丹後海陸交通（株）,弥栄網野砂丘線
井辺,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
桃山,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
網野本町,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
黒部,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
黒部,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
須川,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
網野,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
鳥取口,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
道の駅舟屋の里伊根,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
伊根,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
鳥取,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
鳥取,丹後海陸交通（株）,弥栄網野砂丘線
網野口,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
伊根漁協前,丹後海陸交通（株）,5　伊根線
伊根診療所,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
平田,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
丹後王国「食のみやこ」,丹後海陸交通（株）,弥栄網野砂丘線
日出小坪,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
清新高校前,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
御陵,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
高梨,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
木橋,丹後海陸交通（株）,弥栄網野砂丘線
伊根郵便局前,丹後海陸交通（株）,5　伊根線
木橋口,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
木橋公民館前,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
伊根湾めぐり・日出,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
網野橋,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
デイサービスセンター,丹後海陸交通（株）,弥栄網野砂丘線
あしぎぬ温泉前,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
弥栄あしぎぬ温泉,丹後海陸交通（株）,弥栄網野砂丘線
網野駅,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線, 弥栄網野砂丘線"
溝谷住宅前,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
大島,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
浜詰,丹後海陸交通（株）,弥栄網野砂丘線
大島中,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
溝谷口,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
夕日公園前,丹後海陸交通（株）,弥栄網野砂丘線
八所,京丹後市,弥栄延利線：溝谷〜新宮〜溝谷
漁協前,丹後海陸交通（株）,"5　伊根線, 7　蒲入線, 8　蒲入線, 9　蒲入線"
新庄,丹後海陸交通（株）,弥栄網野砂丘線
高橋,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
和田野,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
和田野,丹後海陸交通（株）,弥栄網野砂丘線
