停留所名,事業者名,バス系統
河瀬,南海りんかんバス（株）,"52　橋本病院線, 53　山内線, 54　真土線"
赤塚西,橋本市,東部線
恋野中,橋本市,東部線
夢あじさい前,橋本市,東部線
恋野地区公民館前,橋本市,東部線
原田南,南海りんかんバス（株）,55　紀見橋本病院線
浮御堂前,橋本市,東部線
妻,南海りんかんバス（株）,"52　橋本病院線, 53　山内線, 54　真土線"
中道,橋本市,東部線
東家3丁目,橋本市,北部線
水源地前,南海りんかんバス（株）,"52　橋本病院線, 53　山内線, 54　真土線"
橋本駅前,橋本市,"東部線, 西部線, 東西幹線"
橋本駅前,南海りんかんバス（株）,"51　橋本市内線, 52　橋本病院線, 53　山内線, 54　真土線, 55　紀見橋本病院線"
西御門,南海りんかんバス（株）,51　橋本市内線
あけぼの団地前,橋本市,西部線
上田東,橋本市,東部線
上田,橋本市,東部線
橋本橋,南海りんかんバス（株）,51　橋本市内線
城の内住宅前,橋本市,東西幹線
神野々西,橋本市,西部線
バーミヤン前,橋本市,"東部線, 北部線, 西部線, 東西幹線"
東家,南海りんかんバス（株）,51　橋本市内線
橋本市役所前,橋本市,"東部線, 北部線, 西部線, 東西幹線"
橋本市役所前,南海りんかんバス（株）,51　橋本市内線
車庫前,橋本市,"東部線, 北部線, 西部線, 東西幹線"
車庫前,南海りんかんバス（株）,"14　紀見線, 51　橋本市内線"
ルートイン橋本前,橋本市,東西幹線
紀伊山田駅前,橋本市,東西幹線
橋本橋南詰,橋本市,東部線
サングレース西,橋本市,西部線
応其,橋本市,西部線
根来さくらの里,和歌山バス那賀（株）,"岩出樽井線　近畿大学経由, 岩出樽井線, 岩出りんくう線"
賢堂黒河道入口,橋本市,西部線
紀北工業高校前,橋本市,西部線
名手上北,紀の川市,地域巡回バス　10名手上那賀支所コース
西川原,紀の川市,地域巡回バス　11川原西脇コース
牛苑前,橋本市,東西幹線
紀伊清水駅前,橋本市,西部線
高野口駅前,橋本市,"西部線, 東西幹線"
伏原松源前,橋本市,西部線
