停留所名,事業者名,バス系統
小熊毛上,国東市,大熊毛・小熊毛線
大河内,国東市,鬼籠・櫛海線
羽根住宅,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線"
下川,大分交通（株）,西方寺
野田,大分交通（株）,赤根
大熊毛上,国東市,大熊毛・小熊毛線
向田,大分交通（株）,"伊美小, 竹田津"
西浜,国東市,向田・浜陽線
向田入口,国東市,向田・浜陽線
東浜,国東市,向田・浜陽線
今在家,大分交通（株）,岐部
小池,大分交通（株）,高田総合＿1
小池,豊後高田市,市民乗合タクシー　小畑線
上野田,大分交通（株）,赤根
羽根上公民館,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線"
山界,大分交通（株）,西方寺
法常商店,豊後高田市,市民乗合タクシー　夷線
向田中,国東市,向田・浜陽線
向田上,国東市,向田・浜陽線
西堅来,大分交通（株）,高田総合＿1
西堅来,豊後高田市,市民乗合タクシー　小畑線
中の迫,大分交通（株）,"伊美小, 竹田津"
粟嶋公園前,大分交通（株）,高田総合＿1
三浦郵便局,豊後高田市,市民乗合タクシー　小畑線
峯の下,大分交通（株）,西方寺
山口,大分交通（株）,赤根
秋光,豊後高田市,"市民乗合タクシー　羽根線, 市民乗合タクシー　夷線"
小林,大分交通（株）,高田総合＿1
上岐部,大分交通（株）,岐部
来浦日平,大分交通（株）,竹田津
三浦小学校入口,豊後高田市,市民乗合タクシー　小畑線
鼓,大分交通（株）,"岩戸寺, 竹田津"
浜公民館,国東市,向田・浜陽線
溝の上,国東市,向田・浜陽線
来浦浜,大分交通（株）,"岩戸寺, 竹田津"
西方寺公民館,大分交通（株）,西方寺
久保,大分交通（株）,赤根
旧農協支所前,国東市,向田・浜陽線
浜四つ角,国東市,向田・浜陽線
西迫,国東市,向田・浜陽線
来浦,大分交通（株）,岩戸寺
東浜,大分交通（株）,高田総合＿1
浜公民館,豊後高田市,市民乗合タクシー　臼野線
川原,大分交通（株）,西方寺
三浦2区公民館,豊後高田市,市民乗合タクシー　小畑線
政丸,大分交通（株）,岩戸寺
千灯,大分交通（株）,赤根
音,国東市,向田・浜陽線
谷尻,大分交通（株）,岩戸寺
不動口,大分交通（株）,赤根
臼野,大分交通（株）,高田総合＿1
