停留所名,事業者名,バス系統
小島南三丁目,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
ベルク七本木店,上里町,こむぎっち号　中央ルート
古新田,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
古新田,上里町,こむぎっち号　中央ルート
並木,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
セブンイレブン長浜店,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
ウニクス,上里町,"こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　中央ルート, こむぎっち号　南部ルート（ウニクス循環）"
ウニクス上里,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
前原一丁目,朝日自動車（株）,"【HJ11】宮本町車庫〜本庄駅南口, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場, 【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所, 【HJ33】本庄駅南口〜沖電気前"
本庄駅北口,十王自動車（株）,伊勢崎・本庄線
七本木小学校,上里町,こむぎっち号　南部ルート（ウニクス循環）
京塚,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
諏訪神社,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
町民体育館,上里町,こむぎっち号　南部ルート（ウニクス循環）
本庄駅南口,朝日自動車（株）,"【HJ11】宮本町車庫〜本庄駅南口, 【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場, 【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所, 【HJ33】本庄駅南口〜沖電気前"
本庄駅南口,本庄観光（株）,はにぽんシャトル
本庄駅南口,武蔵観光（株）,寄居車庫⇔本庄早稲田駅北口⇔本庄駅南口
妻沼川岸,朝日自動車（株）,"【KM61】熊谷駅〜上根〜妻沼聖天前〜太田駅, 【KM62】熊谷駅〜上根〜妻沼聖天前〜西矢島, 【KM63】熊谷駅〜上根〜妻沼聖天前〜西小泉駅"
出来島入口,（株）協同バス,グライダーワゴン（妻沼行政センターから籠原駅北口）
久保神社,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
本郷,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
七本木神社,上里町,こむぎっち号　南部ルート（ウニクス循環）
間々田,（株）協同バス,グライダーワゴン（妻沼行政センターから籠原駅北口）
エーザイ前,朝日自動車（株）,"【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場"
三町公民館,上里町,こむぎっち号　南部ルート（ウニクス循環）
七軒町,朝日自動車（株）,"【HJ11】宮本町車庫〜本庄駅南口, 【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場, 【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所, 【HJ33】本庄駅南口〜沖電気前"
県営住宅,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
駅入口,朝日自動車（株）,"【HJ11】宮本町車庫〜本庄駅南口, 【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場, 【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所, 【HJ33】本庄駅南口〜沖電気前"
駅入口,武蔵観光（株）,寄居車庫⇔本庄早稲田駅北口⇔本庄駅南口
男沼小学校前,（株）協同バス,グライダーワゴン（妻沼行政センターから籠原駅北口）
宿前,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
宿前,上里町,こむぎっち号　南部ルート（ウニクス循環）
渋沢栄一記念館,花園観光バス（株）,深谷市コミュニティバス「くるリン」北部シャトル便
上郷,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
三町四ツ角,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
休安寺入口,上里町,こむぎっち号　南部ルート（ウニクス循環）
三町,朝日自動車（株）,"【HJ31】本庄駅南口〜小島南〜神泉総合支所, 【HJ32】本庄駅南口〜沖電気前〜神泉総合支所"
下久城,上里町,こむぎっち号　北部ルート（ウニクス循環）
駅南交番前,武蔵観光（株）,寄居車庫⇔本庄早稲田駅北口⇔本庄駅南口
駅南交番前,本庄観光（株）,はにぽんシャトル
本郷三,上里町,こむぎっち号　北部ルート（ウニクス循環）
三町,上里町,"こむぎっち号　南部ルート（アグリパーク上里循環）, こむぎっち号　南部ルート（ウニクス循環）"
東岡,朝日自動車（株）,"【KM61】熊谷駅〜上根〜妻沼聖天前〜太田駅, 【KM62】熊谷駅〜上根〜妻沼聖天前〜西矢島, 【KM63】熊谷駅〜上根〜妻沼聖天前〜西小泉駅"
本庄高校入口,朝日自動車（株）,"【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場"
西大御堂,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
立野東,上里町,こむぎっち号　北部ルート（ウニクス循環）
あじさい寺（能護寺）,（株）協同バス,グライダーワゴン（妻沼行政センターから籠原駅北口）
東大北,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
五十石,（株）協同バス,グライダーワゴン（妻沼行政センターから籠原駅北口）
東富田,朝日自動車（株）,"【HJ21】本庄駅南口〜児玉折返し場, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ23】本庄駅南口〜赤城乳業千本さくら工場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場"
南本町,本庄観光（株）,はにぽんシャトル
南本町,武蔵観光（株）,寄居車庫⇔本庄早稲田駅北口⇔本庄駅南口
壁ヶ谷戸自治会館,花園観光バス（株）,深谷市コミュニティバス「くるリン」北部シャトル便
